sample_id,label,selected_chunk_count,total_chunks,score_total,confidence,effectiveness,consistency,collaboration,target_probability
eraser-mr-hf-validation-0,0,8,30,1.9905921877624837,0.9820137619972229,0.02241522229801185,0.9620890066517583,0.024074196815490723,0.9820137619972229
eraser-mr-hf-validation-1,0,8,14,1.8582195109135151,0.8175745010375977,0.015287757143454428,0.9899376630783222,0.035419589654140715,0.8175745010375977
eraser-mr-hf-validation-10,0,8,25,1.9965653449382157,0.9949396848678589,0.02340895096675466,0.954776406288147,0.023440302815455394,0.9949396848678589
eraser-mr-hf-validation-100,1,8,32,1.9683635227389193,0.9820137619972229,0.020532727854956523,0.9544141861447207,0.01140284674201919,0.9820137619972229
eraser-mr-hf-validation-101,1,8,45,1.8901985316640126,0.9362850189208984,0.024571243256531816,0.9258955717086792,0.003446697777903296,0.9362850189208984
eraser-mr-hf-validation-102,1,8,45,1.9132135289263692,0.9902915358543396,0.01571780491616792,0.9045305024458079,0.0026736857100537748,0.9902915358543396
eraser-mr-hf-validation-103,1,8,34,1.9743076557277992,0.9879462122917175,0.03024816357733362,0.9477839469909668,0.008329332867781258,0.9879462122917175
eraser-mr-hf-validation-104,1,8,36,1.876034070469621,0.9511421918869019,0.016190648625460935,0.9057574159809815,0.0029438139762767435,0.9511421918869019
eraser-mr-hf-validation-105,1,8,47,1.7838940980127522,0.9124361872673035,0.01047772282530357,0.8594639646048422,0.0015162233153028781,0.9124361872673035
eraser-mr-hf-validation-106,1,8,32,1.913355280404796,0.9830850958824158,0.01973956919812636,0.9039539580290268,0.006576657295227051,0.9830850958824158
eraser-mr-hf-validation-107,1,8,42,1.9392034423744815,0.949669361114502,0.043894116581694176,0.9383867346278867,0.007253230050398685,0.949669361114502
eraser-mr-hf-validation-108,1,8,42,1.8202317798557472,0.8933094143867493,0.01328527986540362,0.9035078710629645,0.010129214540629872,0.8933094143867493
eraser-mr-hf-validation-109,1,8,42,1.874775094791898,0.9465966820716858,0.015283882420195738,0.9091703133291502,0.003724216970866334,0.9465966820716858
eraser-mr-hf-validation-11,0,8,56,1.898716689825104,0.9908743500709534,0.012282909423426358,0.8920639157295227,0.003495514601201677,0.9908743500709534
eraser-mr-hf-validation-110,1,8,35,1.8426881406593516,0.8933094143867493,0.020565987734212587,0.9196153831252684,0.00919735541312161,0.8933094143867493
eraser-mr-hf-validation-111,1,8,48,1.8910386696751318,0.9755769371986389,0.013307513001940774,0.8972820166013221,0.0048722028732299805,0.9755769371986389
eraser-mr-hf-validation-112,1,8,55,1.9385293157913606,0.9883127212524414,0.024741236094801722,0.9211225509643555,0.0043528074797621885,0.9883127212524414
eraser-mr-hf-validation-113,1,8,32,1.937592265598578,0.9808759689331055,0.014109970168494357,0.9341842492928654,0.00842207720411281,0.9808759689331055
eraser-mr-hf-validation-114,1,8,18,1.9871315962368499,0.949669361114502,0.012813509135867207,0.9866970777511597,0.037951648235321045,0.949669361114502
eraser-mr-hf-validation-115,1,8,31,1.969377156765365,0.989347517490387,0.027828935988243986,0.9371967240806489,0.015003979206085205,0.989347517490387
eraser-mr-hf-validation-116,1,8,40,1.9314030388313594,0.9796676635742188,0.016181586118346636,0.9288575649261475,0.006696224212646484,0.9796676635742188
eraser-mr-hf-validation-117,1,8,54,1.8797567579938559,0.949669361114502,0.027185264779614915,0.8994792163682515,0.0034229157314875636,0.949669361114502
eraser-mr-hf-validation-118,1,8,42,1.8846180973776503,0.9465966820716858,0.024235192675445383,0.9064623601987791,0.007323862431739991,0.9465966820716858
eraser-mr-hf-validation-119,1,8,73,1.8665730814765649,0.9790357351303101,0.012643933895518211,0.8734885906617665,0.0014048217889701675,0.9790357351303101
eraser-mr-hf-validation-12,0,8,31,1.9653416139112359,0.9777138233184814,0.021454214217691114,0.9506633730719403,0.015510203303122916,0.9777138233184814
eraser-mr-hf-validation-120,1,8,24,1.9562805805459706,0.9724147319793701,0.013759552001950337,0.9547832500417693,0.015323046522880857,0.9724147319793701
eraser-mr-hf-validation-121,1,8,29,1.93812149914103,0.985042929649353,0.014233292336865211,0.9334391355514526,0.00540614160335906,0.985042929649353
eraser-mr-hf-validation-122,1,8,36,1.911938427442529,0.957912266254425,0.01401591553687409,0.9335037430229034,0.006506502628326416,0.957912266254425
eraser-mr-hf-validation-123,1,8,24,1.9168580215186,0.9362850189208984,0.014496090893395985,0.952429774258753,0.013647137445552682,0.9362850189208984
eraser-mr-hf-validation-124,1,8,18,1.9477153483912044,0.8807970881462097,0.027603210572107018,0.9863006488918484,0.05301440078103914,0.8807970881462097
eraser-mr-hf-validation-125,1,8,9,1.862367401569506,0.793105959892273,0.012379109634104046,0.9996878504567057,0.05719448158642315,0.793105959892273
eraser-mr-hf-validation-126,1,8,20,1.976835137363527,0.9465966820716858,0.02358180423674161,0.9780227568122438,0.028633894242855673,0.9465966820716858
eraser-mr-hf-validation-127,1,8,37,1.8746426031453889,0.9324533343315125,0.012845994965374974,0.9242823033669324,0.005060970481569171,0.9324533343315125
eraser-mr-hf-validation-128,1,8,33,1.8911110727528886,0.9669139981269836,0.012725593811002134,0.9062475506214828,0.0052239301934200455,0.9669139981269836
eraser-mr-hf-validation-129,1,8,34,1.9318342034323304,0.977022647857666,0.012417256546058297,0.9347507163139133,0.007643582714692898,0.977022647857666
eraser-mr-hf-validation-13,0,8,45,1.975522997614402,0.9854964017868042,0.03262716793682019,0.9465411305427551,0.010858297348022461,0.9854964017868042
eraser-mr-hf-validation-130,1,8,26,1.9121738688379049,0.9416541457176208,0.019116942063704956,0.9420186842691114,0.009384096787467766,0.9416541457176208
eraser-mr-hf-validation-131,1,8,35,1.752169093993142,0.9046505093574524,0.005539417909489086,0.8352288210937461,0.006750345632454469,0.9046505093574524
eraser-mr-hf-validation-132,1,8,37,1.9029150565678352,0.9724147319793701,0.0177721993259935,0.9068035427810873,0.005924582481384277,0.9724147319793701
eraser-mr-hf-validation-133,1,8,31,1.9457368878511618,0.9724147319793701,0.02207225839178073,0.9438768029212952,0.00737309455871582,0.9724147319793701
eraser-mr-hf-validation-134,1,8,30,1.9784453426181257,0.968856155872345,0.03689640640615777,0.9593201182651699,0.013372662074452868,0.968856155872345
eraser-mr-hf-validation-135,1,8,15,2.004159930396366,0.968856155872345,0.013803126954130662,0.9869192823075392,0.03458136526235134,0.968856155872345
eraser-mr-hf-validation-136,1,8,47,1.9579133385501033,0.9814534187316895,0.03486013701775237,0.9347776135669716,0.006822169233689834,0.9814534187316895
eraser-mr-hf-validation-137,1,8,24,2.0096651894650255,0.9820137619972229,0.04176354237411373,0.9658405780792236,0.020047307014465332,0.9820137619972229
eraser-mr-hf-validation-138,1,8,22,1.940597893861089,0.9433475732803345,0.01899427287593669,0.9626060128211975,0.01565003488362049,0.9433475732803345
eraser-mr-hf-validation-139,1,8,46,1.9211741632294697,0.9820137619972229,0.017311572329476,0.9179143856712809,0.003934443231489837,0.9820137619972229
eraser-mr-hf-validation-14,0,8,17,1.9916540949179373,0.9808759689331055,0.01720249635637583,0.9720941765364514,0.021481453092004665,0.9808759689331055
eraser-mr-hf-validation-140,1,8,31,1.8219043561170591,0.9099069833755493,0.011470378020170924,0.8967832265367047,0.0037437681846341775,0.9099069833755493
eraser-mr-hf-validation-141,1,8,19,1.7843660026473944,0.8558511734008789,0.003075539981921338,0.922720780696962,0.0027185085676322274,0.8558511734008789
eraser-mr-hf-validation-142,1,8,21,1.8001818076338916,0.8080672025680542,0.021162330501198978,0.9529211521148682,0.01803112244977023,0.8080672025680542
eraser-mr-hf-validation-143,1,8,23,1.8895195140938486,0.9284088015556335,0.01054757935308026,0.9434793591499329,0.007083774035201884,0.9284088015556335
eraser-mr-hf-validation-144,1,8,43,1.8240225897155615,0.9324533343315125,0.01793831446989491,0.8712818622589111,0.00234907865524292,0.9324533343315125
eraser-mr-hf-validation-145,1,8,47,1.9241009868579502,0.9777138233184814,0.020596683665992543,0.9206434989742636,0.0051469808992125055,0.9777138233184814
eraser-mr-hf-validation-146,1,8,67,1.918303907921889,0.9648551344871521,0.03989089150975722,0.9084704463762311,0.005087435548748687,0.9648551344871521
eraser-mr-hf-validation-147,1,8,17,2.0190665753282246,0.9905874133110046,0.01118761339589014,0.9855485567123629,0.03174299190896701,0.9905874133110046
eraser-mr-hf-validation-148,1,8,24,1.9799308146034638,0.9755769371986389,0.02416336495118543,0.9564490344256806,0.023741478027958896,0.9755769371986389
eraser-mr-hf-validation-149,1,8,42,1.823006987804149,0.8872045874595642,0.017258167499278554,0.910578727722168,0.007965505123138428,0.8872045874595642
eraser-mr-hf-validation-15,0,8,96,1.9282340523833583,0.9952448010444641,0.029083132134822165,0.8971957686906137,0.006710350513458252,0.9952448010444641
eraser-mr-hf-validation-150,1,8,34,1.8830054949357409,0.9511421918869019,0.008030176123743016,0.9183777522073836,0.005455374717712402,0.9511421918869019
eraser-mr-hf-validation-151,1,8,25,1.88501524931079,0.8933094143867493,0.016943275986967876,0.9549959897994995,0.019766569137573242,0.8933094143867493
eraser-mr-hf-validation-152,1,8,22,1.9953897059899717,0.9939024448394775,0.02180022179563723,0.9641715330873092,0.015515506267547607,0.9939024448394775
eraser-mr-hf-validation-153,1,8,32,1.9343671031475402,0.9783846735954285,0.01770150657595393,0.9283625908762433,0.00991833209991455,0.9783846735954285
eraser-mr-hf-validation-154,1,8,56,1.9163924259965188,0.9863631725311279,0.010043143735121163,0.915130833418568,0.004855276311701795,0.9863631725311279
eraser-mr-hf-validation-155,1,8,27,1.5398784303394542,0.562176525592804,0.03368700286016746,0.9300916749293611,0.013923226957121781,0.562176525592804
eraser-mr-hf-validation-156,1,8,36,1.9296245034227262,0.9553191065788269,0.0264931320123023,0.9336985985220381,0.014113666309558792,0.9553191065788269
eraser-mr-hf-validation-157,1,8,28,1.9394739239561924,0.9658995866775513,0.013439536211087955,0.9469560321517029,0.01317876891585057,0.9658995866775513
eraser-mr-hf-validation-158,1,8,59,1.8705603758399558,0.9840936064720154,0.01390772916507299,0.8628445536719566,0.009714486530910893,0.9840936064720154
eraser-mr-hf-validation-159,1,8,46,1.8961183314214751,0.9879462122917175,0.010669172875566346,0.8949714773859355,0.0025314688682556152,0.9879462122917175
